energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.733,0.879,121.007,0.0355,0.318,0.795,3,0.655,5,281652,-9.777,0.646,0,audio_features,spotify:track:03fl0UIKVSxuvIiQUIwbbD
0.743,0.221,170.083,0.0626,0.0356,0.847,5,0.567,8,212881,-8.614,0.423,1,audio_features,spotify:track:1TuopWDIuDi1553081zvuU
0.627,0.0983,101.98,0.035,0.142,0.368,4,0.746,11,258824,-7.652,0.242,0,audio_features,spotify:track:5xusgxv7I3nY5T2vrVHRR5
0.733,0.075,138.05,0.0441,0.0108,0.756,4,0.57,7,250539,-11.771,0.347,0,audio_features,spotify:track:5O3XeXa8C0fpb6uEsLCxLR
0.785,0.147,94.978,0.425,0.0116,0.907,4,0.533,4,282022,-7.226,0.378,0,audio_features,spotify:track:5zyK38RQWyOxhpQEVRkJKi
0.625,0.155,171.99,0.0317,0.0179,0.953,4,0.644,9,184186,-7.797,0.549,0,audio_features,spotify:track:7xRSeMdAWMoWqlYnoC3kPX
0.593,0.122,98.996,0.0267,0.00695,0.564,4,0.501,2,235164,-8.771,0.216,0,audio_features,spotify:track:3Vit46aYIz4uq4HlfCoiX1
0.622,0.212,85.994,0.0322,0.0809,0.000789,4,0.505,10,297432,-8.372,0.193,1,audio_features,spotify:track:5VKEsChbUowEF2BT0gJSGX
0.857,0.472,91.053,0.0543,0.0113,0.00751,4,0.535,9,258413,-5.2,0.446,0,audio_features,spotify:track:0U0ldCRmgCqhVvD6ksG63j
0.691,0.347,150.002,0.0285,0.00517,0.728,4,0.591,5,416000,-9.739,0.561,0,audio_features,spotify:track:1gyrgyyR2qR8PMYTez8TIp
0.561,0.083,165.009,0.0393,0.000605,0.846,4,0.514,9,269488,-9.731,0.0312,1,audio_features,spotify:track:2XD8RAoYmvuLRjvTi1dHvl
0.76,0.119,176.208,0.0344,0.138,0.732,4,0.523,9,242709,-6.612,0.385,0,audio_features,spotify:track:6YYpEOBjVdQbn9Inrl0Ja0
0.837,0.0682,125.012,0.0375,0.00216,0.4,4,0.437,9,260000,-8.949,0.453,1,audio_features,spotify:track:24hghyOlo1dTQ9sv2wufpk
